dataset_version,family,parameter,arch_seed,arch_id,gates_json,energy,exact,gap,label_steps,label_restarts,depth,n_single,n_double,n_parameters,high_energy,high_gap,high_steps,high_restarts
2026-09-v3-pauli-factor-graph,Hubbard,8.0,79,3,"[[""D"",[0,3,1,2]],[""D"",[0,2,1,3]],[""D"",[0,2,1,3]],[""D"",[0,2,1,3]],[""S"",[0,1]],[""S"",[0,1]],[""D"",[0,2,1,3]],[""S"",[0,2]]]",-0.4715498509319196,-0.4721359549995794,0.0005861040676597,60,2,8,3,5,8,-0.47213594214807486,1.2851504527233715e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,15,"[[""D"",[0,3,1,2]],[""S"",[1,2]],[""D"",[0,1,2,3]],[""S"",[2,3]],[""D"",[0,1,2,3]],[""S"",[0,1]],[""S"",[1,2]],[""S"",[0,1]]]",-1.999367713236513,-2.0,0.0006322867634869,60,2,8,5,3,8,-1.999999975477565,2.452243497153006e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,51,18,"[[""D"",[0,3,1,2]],[""S"",[1,2]],[""S"",[0,1]],[""S"",[0,3]],[""S"",[0,3]],[""D"",[0,1,2,3]],[""D"",[0,1,2,3]],[""S"",[2,3]]]",-0.4714790369413504,-0.4721359549995794,0.0006569180582289,60,2,8,5,3,8,-0.47213595174842604,3.2511533465395814e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,51,5,"[[""S"",[3,2]],[""D"",[0,2,1,3]],[""S"",[1,2]],[""S"",[0,2]],[""S"",[0,1]]]",-0.8277673393400132,-0.8284271247461902,0.0006597854061769,60,2,5,4,1,5,-0.8284270356547135,8.909147664049044e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,37,14,"[[""S"",[0,1]],[""S"",[1,2]],[""S"",[0,1]],[""S"",[0,1]],[""D"",[0,1,2,3]],[""S"",[2,3]],[""S"",[1,2]],[""D"",[0,2,1,3]]]",-1.999333702608216,-2.0,0.0006662973917839,60,2,8,6,2,8,-1.9999907259847962,9.274015203786234e-06,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,11,6,"[[""D"",[0,3,1,2]],[""S"",[0,2]],[""S"",[0,3]],[""S"",[1,3]],[""D"",[0,1,2,3]],[""S"",[1,2]],[""D"",[0,2,1,3]],[""S"",[0,3]]]",-0.8277476492886178,-0.8284271247461902,0.0006794754575724,60,2,8,5,3,8,-0.8284271043339517,2.0412238455058684e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,37,17,"[[""S"",[3,2]],[""S"",[0,1]],[""S"",[0,2]],[""S"",[0,3]],[""S"",[0,3]],[""S"",[0,1]],[""S"",[0,3]]]",-1.9993184826239312,-2.0,0.0006815173760688,60,2,7,7,0,7,-1.9999981426873044,1.8573126956411556e-06,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,51,9,"[[""D"",[0,3,1,2]],[""S"",[0,3]],[""S"",[2,3]],[""S"",[1,3]],[""S"",[0,3]]]",-0.4714346226589383,-0.4721359549995794,0.000701332340641,60,2,5,4,1,5,-0.4721359382513062,1.6748273212741083e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,51,15,"[[""D"",[0,3,1,2]],[""D"",[0,1,2,3]],[""S"",[0,1]],[""D"",[0,1,2,3]],[""S"",[0,1]],[""S"",[0,2]],[""S"",[1,2]]]",-0.4714320508407994,-0.4721359549995794,0.0007039041587799,60,2,7,4,3,7,-0.4721358285467938,1.2645278557599227e-07,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,11,21,"[[""D"",[0,3,1,2]],[""S"",[0,2]],[""S"",[2,3]],[""S"",[0,1]],[""S"",[2,3]],[""S"",[0,1]],[""S"",[0,3]]]",-0.8277016124086317,-0.8284271247461902,0.0007255123375584,60,2,7,6,1,7,-0.8284271163502113,8.395978912112412e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,79,8,"[[""S"",[0,1]],[""D"",[0,2,1,3]],[""S"",[0,1]],[""D"",[0,2,1,3]],[""S"",[1,3]],[""D"",[0,1,2,3]],[""S"",[2,3]],[""D"",[0,2,1,3]]]",-1.9992548691364695,-2.0,0.0007451308635302,60,2,8,4,4,8,-1.9999999646797488,3.532025116825821e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,23,18,"[[""D"",[0,3,1,2]],[""S"",[2,3]],[""S"",[0,2]],[""D"",[0,2,1,3]]]",-0.8276302554686055,-0.8284271247461902,0.0007968692775847,60,2,4,2,2,4,-0.8284271195545118,5.191678420501944e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,11,9,"[[""D"",[0,3,1,2]],[""S"",[0,1]],[""D"",[0,2,1,3]],[""D"",[0,2,1,3]]]",-0.8276231525439095,-0.8284271247461902,0.0008039722022806,60,2,4,1,3,4,-0.8284271187680958,5.97809435287644e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,51,21,"[[""D"",[0,3,1,2]],[""S"",[2,3]],[""S"",[1,3]],[""D"",[0,2,1,3]],[""S"",[1,2]]]",-0.8275914728149918,-0.8284271247461902,0.0008356519311983,60,2,5,3,2,5,-0.8284271195585807,5.187609453116693e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,23,21,"[[""D"",[0,3,1,2]],[""D"",[0,2,1,3]],[""S"",[1,3]],[""S"",[0,3]],[""S"",[0,1]],[""S"",[1,2]]]",-0.8274499558351,-0.8284271247461902,0.0009771689110902,60,2,6,4,2,6,-0.8284270900953294,3.465086073628498e-08,160,5
